email;ICO;nazov firmy;popis_firmy;telefon;adresa
alexandra.karova@vagus.sk;42185971;OZ Vagus;An association providing social assistance to homeless people directly in the field through the Streetwork project.;949655555;Mýtna 33, 81107 Bratislava
smile4u.sk@gmail.com;42181356;Smile 4U;Humanitarian and charitable assistance to socially disadvantaged citizens, victims of natural disasters and animals in need.;901767363;Ladislava Sáru 2, 84104 Bratislava
libusa.mihalikova@centrum.sk;34074431;Spolok sv. Vincenta de Paul na Slovensku;Združenie dobrovoľníkov - duchovná a hmotná pomoc ľuďom v núdzi (starým, chorým, väzňom, bezdomovcom, utečencom).;911352331;Tomášikova 8A, 82103 Bratislava
nr.svdp@gmail.com;34074431;Spolok sv. Vincenta de Paul na Slovensku;Združenie dobrovoľníkov - duchovná a hmotná pomoc ľuďom v núdzi (starým, chorým, väzňom, bezdomovcom, utečencom).;911352331;Tomášikova 8A, 82103 Bratislava
info@behamepresrdce.sk;51740974;LAMU;Občianske združenie organizujúce charitatívny beh Beháme pre srdce.;;Bazová 53, 90025 Chorvátsky Grob
info@charitasenec.sk;50650041;Charita Senec;Charitatívny spolok sa venuje všetkým ľuďom v Senci a okolí, ktorí potrebujú pomoc.;910842908;Farské námestie 1273/4, 90301 Senec
info@premichala.eu;50042548;Pre Michala, o.z.;Charitatívna činnosť, podpora sociálne slabších rodín a podpora zdravého životného štýlu.;905650352;Novosvetská 1227/40, 81104 Bratislava
vstupte@gmail.com;37924664;Vstúpte, n.o.;Rehabilitačné stredisko, príprava na prácu, chránené bývanie pre občanov so zdravotným aj kombinovaným postihnutím.;347726274;1. mája 15, 90101 Malacky
info@babkyvnemocnici.sk;42180805;Bábky v nemocnici;Občianske združenie organizuje divadelné predstavenia, hry a pesničky pre deti v nemocniciach.;4,20777E+11;Hagarova 2550/19, 83151 Bratislava
savio@savio.sk;30799562;SAVIO o. z.;Rozvojové a humanitárne projekty. Pomoc deťom a mladým ľuďom v Afrike, na Sibíri a v iných menej rozvinutých regiónoch.;255640409;Miletičova 7, 82108 Bratislava
orinart@orinart.sk;30846978;združenie ORIN PANACEA;Charitatívne združenie Ivany Christovej s cieľom spríjemniť a zlepšiť pobyt detí v zdravotníckych zariadeniach.;903427250;Zámocká 8, 81101 Bratislava
bratislava-okolie@redcross.sk;31773257;Slovenský červený kríž, územný spolok Bratislava - okolie;Poskytovanie kurzov prvej pomoci. Opatrovateľské kurzy. Zber oblečenia.;245924273;Pribinova 15, 90301 Senec
rita.carberry@gmail.com;17313457;RESOTY - Resocializačná komunita Antona Srholca;Ubytovňa pre bezdomovcov.;;Pri trati 13, 82106 Bratislava
maria.galikova@dobrotapreafriku.sk;42357454;Dobrota pre Afriku;Občianske združenie zamerané na pomoc a podporu vzdelanosti detí z Kene a Južného Sudánu.;903227594;Bezekova 24, 84102 Bratislava
dusan@labrador.sk;31787355;Slovakia retriever klub;Chovateľský klub. Chov a výcvik retrieverov.;905195385;Štefánikova 10, 81105 Bratislava
dzbspravca@gmail.com;30849667;Diakonické združenie Betánia, účelové zariadenie Cirkvi bratskej v Slovenskej republike;Združenie zamerané na pomoc starým, chorým, osamelým ľuďom.;254435550;Partizánska 6, 81103 Bratislava
zdruzenie.prima.ba@gmail.com;31789650;Občianske združenie Prima;Práca v uliciach pre ľudí, ktorí potrebujú pomoc.;;Hviezdoslavovo nám. 17, 81101 Bratislava
sekretariat@maltezskyrad.sk;30867959;Maltézska pomoc Slovensko;Charitatívna činnosť prostredníctvom svojich dobrovoľníkov.;254131296;Kapitulská 9, 81101 Bratislava
info@orderofmalta.sk;30867959;Maltézska pomoc Slovensko;Charitatívna činnosť prostredníctvom svojich dobrovoľníkov.;254131296;Kapitulská 9, 81101 Bratislava
charita@charitablumental.sk;30799970;Občianske združenie Charita Blumentál Bratislava;Služby psychologickej poradne. Možnosť využitia počítača. Sociálna poradňa.;255562319;Vazovova 8, 81107 Bratislava
bratislava@redcross.sk;584410;Slovenský Červený kríž, územný spolok Bratislava-mesto;Kurzy prvej pomoci, vodnej záchrannej služby a opatrovania. Humanitárne aktivity, darcovstvo krvi a sociálne služby.;903558905;Miletičova 59, 82109 Bratislava
info@amazi.sk;42360986;Amazi;Podpora a realizácia rozvojových, misijných a humanitárnych projektov prevažne v Afrike.;915641387;Sološnická 20, 84104 Bratislava
stopa.slovensko@gmail.com;42446341;Občianske združenie STOPA Slovensko;Integračné centrum pre ľudí bez domova. Pomoc sociálne vylúčeným skupinám obyvateľstva.;948139382;Pražská 33, 81104 Bratislava
iwc@iwc.sk;30811309;Medzinárodný klub žien v Bratislave;Propagácia priateľstva a porozumenia, tvorba priestoru pre pozannie iných kultúr. Organizovanie charitatívnych akcií.;;Hodžovo nám. 2, 81106 Bratislava
charity@iwc.sk;30811309;Medzinárodný klub žien v Bratislave;Propagácia priateľstva a porozumenia, tvorba priestoru pre pozannie iných kultúr. Organizovanie charitatívnych akcií.;;Hodžovo nám. 2, 81106 Bratislava
riaditel@detskydomovbratislava.sk;31746659;Centrum pre deti a rodiny Bratislava - Učiteľská;Detský domov rodinného typu.;245 248 580;Učitel'ská 42, 82106 Bratislava
dedrohoznik@gmail.com;42353092;Domov detí sv. Antona o.z.;Neštátny detský domov rodinného typu.;905 852 351;Pri potoku 45/3, 90638 Rohožník
riaditel@dednadej.sk;180271;Centrum pre deti a rodiny Bernolákovo;Detský domov Nádej.;905 947 252;Trnavská 62, 90027 Bernolákovo
posta@cdrba-rontgenova.sk;31753485;Centrum pre deti a rodiny Bratislava - Röntgenova;Detský domov.;267 209 400;Röntgenova 6, 85101 Bratislava
riaditel@dedharmonia.sk;163261;Centrum pre deti a rodiny Pezinok;Detský domov Harmónia.;332 433 032;Nová ul.č. 9, 90203 Pezinok
pkv@netax.sk;17336236;Poliklinika Karlova Ves Bratislava;Zoznam ambulancií a kontakty na jednotlivé pracoviská, informácie.;260 264 111;Líščie údolie 57, 84104 Bratislava
info@probios.sk;31392946;Pro Bios spol. s r.o. neštátna poliklinika;Všeobecná a špecializovaná ambulantná zdravotná starostlivosť.;255 566 134;Ružová dolina 21, 82109 Bratislava
sekretariat@snop.sk;36077739;Špecializovaná nemocnica pre ortopedickú protetiku Bratislava, n.o.;Poskytovateľ ambulantnej, ústavnej, rehabilitačnej a sociálno-poradenskej starostlivosti.;250 116 111;Záhradnícka 42, 82108 Bratislava
info@procare.sk;35890568;ProCare, a.s.;Sieť polikliník a nemocníc, ktoré patria do skupiny Penta Hospitals International. Pracovná zdravotná služba.;850 888 999;Einsteinova 23-25, 85101 Bratislava
info@nusch.sk;35971126;Národný ústav srdcových a cievnych chorôb, a.s.;Podrobné informácie o ústave a poskytovaných službách, pracoviská, mapa.;259 320 111;Pod Krásnou hôrkou 1, 83101 Bratislava
sekretariat@nudch.eu;607231;Národný ústav detských chorôb;Nemocnica s poliklinikou, organizačná štruktúra, administratíva, informácie.;259 371 111;Limbová 1, 83101 Bratislava
info@nudch.eu;607231;Národný ústav detských chorôb;Nemocnica s poliklinikou, organizačná štruktúra, administratíva, informácie.;259 371 111;Limbová 1, 83101 Bratislava
sekretariat@rpas.sk;35914793;Ružinovská poliklinika, a.s.;Poskytovanie všeobecnej aj špecializovanej zdravotnej starostlivosti.;248 279 111;Ružinovská 10, 82007 Bratislava
sekretariat@hedak.sk;35769971;HEDAK, a.s.;Poliklinika Mýtna - ambulancie, ich zameranie, lekári, konkrétne ponuky zdravotných služieb, ordinačné hodiny.;257 786 200;Mýtna 5, 81105 Bratislava
info@nou.sk;165336;Národný onkologický ústav v Bratislave;Základné informácie pre pacientov, oddelenia a ich profily, ambulancie, administratíva, lekári.;259 378 111;Klenová 1, 83101 Bratislava
ousa@ousa.sk;3568146;Onkologický ústav sv. Alžbety, s.r.o.;Moderné neštátne zdravotnícke zariadenie, ktoré vykonáva komplexnú onkologickú starostlivosť pre pacientov z celej SR.;232 249 111;Heydukova 10, 81108 Bratislava
info@mdclinic.sk;44571747;MDclinic a.s.;Komplexná zdravotná starostlivosť v poliklinikách a rehabilitačných centrách. Kurzy prvej pomoci a PZS.;220 868 777;Radlinského 27, 81107 Bratislava
recepcia@hippokrates.sk;35683856;Súkromné zdravotnícke centrum Hippokrates, spol. s r.o.;Komplexné možnosti rehabilitácie. Kompletná diagnostika. Neurologická a psychologická ambulancia.;259 204 200;Šulekova 20, 81103 Bratislava
info@sustekova.sk;35892200;Poliklinika Šustekova, s.r.o.;Správa a prevádzka Polikliniky Šustekova. Ambulancie, prenájom nebytových priestorov.;262 411 233;Šustekova 2, 85104 Bratislava
info@cudzokrajne.sk;35870940;Zama, s.r.o.;Poliklinika cudzokrajných chorôb. Očkovanie cestovateľov, konzultácie pred pobytom v trópoch, diagnostika nákaz.;252 925 688;Americké námestie 3, 81108 Bratislava
info@dkc-sr.sk;35971126;Národný ústav srdcových a cievnych chorôb, a.s., Detské kardiocentrum;Detské kardiocentrum na Kramároch, kardiológia, kardiochirurgia, informácie.;259 320 111;Pod Krásnou hôrkou č. 1, 83101 Bratislava
info@poliklinika-vajnorska.sk;31375979;Next s.r.o.;Prevádzkovanie polikliniky pre deti, dorast a dospelých.;244 258 006;Vajnorská 40, 83103 Bratislava
office@sportmed.sk;35870281;Sportmed, s.r.o.;Komplexné zdravotnícke zabezpečenie športovcov. Neštátne zdravotnícke zariadenie.;902 901 032;Šancová 110, 83104 Bratislava
recepcia@klinikamd.sk;47236311;MEDICÍNSKE ZARIADENIE MLYNSKÁ DOLINA, s. r. o.;Neštátna poliklinika Mlynská Dolina.;232 313 020;Staré Grunty 56, 84104 Bratislava
agelclinic@agelclinic.sk;51104776;AGELA s.r.o.;Nemocnica zameraná na poruchy pohybového ústrojenstva a športovú medicínu. Jednodňová chirurgia.;248 252 300;Jelačičova 8, 82108 Bratislava
ortoped@ortoped.sk;35873272;clinica orthopedica, s.r.o.;Špecializácia na všetky ochorenia pohybového aparátu dospelých pacientov.;917 620 620;Nevädzová 6, 82101 Bratislava
dkralovstvo@gmail.com;36617041;Detské kráľovstvo s.r.o.;;902 088 656;Zvolenská 23, 81102 Bratislava
info@zsriazanska.sk;31768873;Základná škola s materskou školou;Základná škola s materskou školou všeobecného zamerania.;244 253 122;Riazanská 75, 83103 Bratislava
riaditel@ms-sulekova.sk;30791863;Materská škola, Šulekova 35, Bratislava;Materská škola, predškolská výchova detí.;254 415 585;Šulekova 35, 81103 Bratislava
info@babyland-centrum.sk;40646149;1. Súkromné Opatrovateľské centrum BABYLAND - Mgr. Jana Kamenská;Materská škola s anglickým jazykom. Opatrovateľská služba pre deti, denné, víkendové a letné jazykové kurzy pre deti.;908 414 091;Nobelovo námestie 6, 85101 Bratislava
martina@stromcek.sk;36825590;BÄUMCHEN - STROMČEK s.r.o.;Detské centrum zamerané na opateru a pedagogiku detí. Organizovanie výletov, večerná škôlka, prednášky a posedenia.;907 824 857;Matúšová 10, 81104 Bratislava
skolkalimba@gmail.com;30848440;LIMBA;Materská škola rodinného typu. AJ, NJ, Montessori. Vzdelávanie zábavnou formou, vychádzky v prírode, vegetariánska strava.;904 567 609;Horský park, 81104 Bratislava
admissions@brilliantstars.sk;42126401;Súkromná materská škola, Vavilovova 18, 85101 Bratislava;Materská škola. Výchovno-vzdelávacie zariadenie pre deti predškolského veku.;262 414 292;Vavilovova 18, 85101 Bratislava
mshorova@centrum.sk;31809006;Materská škola, Pavla Horova 3, Bratislava;Materská škola – starostlivosť o deti v predškolskom veku.;264 779 152;Pavla Horova 3, 84108 Bratislava
msplickova@gmail.com;42133980;Materská škola, Plickova 16, 83106 Bratislava 35;Materská škola. Vzdelávacie a výchovné zariadenie.;244 882 464;Plickova 16, 83106 Bratislava
heyrovskeho@dietkykvietky.sk;42170923;Materská škola, Heyrovského 4, Bratislava;Materská škola – starostlivosť o deti v predškolskom veku.;264 360 389;Heyrovského 4, 84103 Bratislava
malokarpatskenam@dietkykvietky.sk;42170923;Materská škola, Heyrovského 4, Bratislava;Materská škola – starostlivosť o deti v predškolskom veku.;264 360 389;Heyrovského 4, 84103 Bratislava
msbaronka@gmail.com;30794986;Materská škola, Barónka 17, 83106 Bratislava;Materská škola. Starostlivosť o deti v predškolskom veku.;244 886 224;Barónka 17, 83106 Bratislava
msbaronka@msbaronka.sk;30794986;Materská škola, Barónka 17, 83106 Bratislava;Materská škola. Starostlivosť o deti v predškolskom veku.;244 886 224;Barónka 17, 83106 Bratislava
msgalbaveho@gmail.com;264 364 961;Mestská časť Bratislava - Dúbravka, Materská škola Galbavého 5;Prevádzka materskej školy pre deti od 2,5 do 6 rokov.;;Galbavého 5, 84101 Bratislava
mspifflova@strediskoskole.sk;42173132;Občianske združenie Slniečko pri MŠ Pifflova;7-triedna materská škola s jednou triedou pre deti s diagnózami celiakia, diabetes, fenylketonúria, intolerancia laktóz.;262 241 844;Pifflova 10, 85101 Bratislava
mspodrovnicami@gmail.com;42181518;Rodičia a priatelia MŠ Pod Rovnicami 1 - občianske združenie;Štvortriedna materská škola pre deti od 3 do 6 rokov a deti s odloženou povinnou školskou dochádzkou.;265 420 908;Pod Rovnicami 1, 84104 Bratislava
cirkevnamaterskaskola@chello.sk;31797300;Cirkevná materská škola Márie Mazzarellovej v Bratislave;Výchovno-vzdelávacia činnosť v duchu evanjelických hodnôt.;262 319 942;Lachova 33, 85103 Bratislava
office@mskameliova.sk;31787037;Materská škola;Materská škola pre deti od 2,5 do 6 rokov vo Vrakuni.;245 245 962;Kaméliová 10, 82107 Bratislava
zsjarovce@gmail.com;31754945;Základná škola s materskou školou Trnková 1, 851 10 Bratislava - Jarovce;Základné vzdelávanie detí od predškolského veku.;262 860 332;Trnková 1, 85110 Bratislava
riaditel@borodacova.sk;52848094;Základná škola s materskou školou, Borodáčova 2, Bratislava;Základná škola s materskou školou. Informácie pre rodičov a žiakov.;243 630 904;Borodáčova 3113/ 2, 82103 Bratislava
zsrusovce@zsrusovce.sk;31781845;Základná škola s materskou školou Vývojová 228 Bratislava - Rusovce;Informácie o škole, aktivity, učiteľský zbor, žiaci, projekty, kontakty.;262 859 124;Vývojová 228, 85110 Bratislava
skola@zakasarnou.sk;31768989;Základná škola s materskou školou, Za kasárňou 2, Bratislava-Nové Mesto;Výchova a vzdelávanie detí.;244 250 803;Za kasárňou 2, 83103 Bratislava
info@speakandlearn.sk;47512792;SpeakAndLearn s.r.o.;Materská škola s anglickým komunikačným jazykom. Ponuka jazykových letných táborov.;903 846 519;Tomášikova 8A, 82103 Bratislava
saliniova@zsjeseniovaba.edu.sk;31810527;Základná škola s materskou školou;Prezentácia základnej školy s materskou školou, program pre deti aj po vyučovaní.;254 654 594;Jeséniova 54, 83101 Bratislava
timravina@timravina.sk;30791871;Materská škola, Timravina 6, Bratislava;Predškolská starostlivosť o deti. Materská škola.;254 414 323;Timravina 8, 81106 Bratislava
info@mskrokzakrokom.sk;54289262;Krok za krokom s.r.o.;Súkromná materská škôlka pre deti od 2,5 roka do 5 rokov.;911 498 255;Royova 7, 83101 Bratislava
info@skolka-lienka.sk;43902910;RAMAT PLUS, s. r. o.;Škôlka a detské jasle Lienka. Individuálny rozvoj dieťaťa s prihliadnutím na jeho naturel, rozvíjanie slabších stránok.;903 763 765;Gorazdova 11, 81104 Bratislava
skolka@malisampioni.sk;50248235;LITTLE CHAMPIONS - MALÍ ŠAMPIÓNI, s.r.o.;Materská škola a jasle so širokým športovým zameraním, garantmi prípravy a s prvkami montessori pedagogiky.;907 407 885;Jadrová 4, 82104 Bratislava
velehradskams@gmail.com;30848806;Materská škola;Predškolská starostlivosť o deti. Materská škola.;255 969 632;Velehradská 24, 82108 Bratislava
info@montessori.sk;30804663;Súkromná základná škola s materskou školou, Zlatohorská 18;Vzdelávanie metódou Montessori.;911 542 039;Zlatohorská 18, 84103 Bratislava
maternelle.skolka@gmail.com;46112839;Maternelle s. r. o.;Súkromná materská škola v Ružinove.;944 476 202;Peterská 4, 82103 Bratislava
info@msgelnicka.sk;36063991;Materská škola, Gelnická 34, Bratislava;Výchovná inštitúcia zameraná na výchovu a vzdelávanie detí.;244 887 595;Gelnická 34, 83106 Bratislava
skolka@msstonozka.sk;36063983;Materská škola;Materská škola, predškolská výchova detí.;911 940 648;Pri Šajbách 14, 83106 Bratislava
skola@zsodborba.edu.sk;31785204;Základná škola s materskou školou;Základná škola s materskou školou. Informácie pre rodičov a žiakov.;249 202 611;Odborárska 2, 83102 Bratislava
sibirska@sibirska.sk;31785221;Základná škola s materskou školou;Základná škola s materskou školou. Informácie pre rodičov a žiakov.;244 253 786;Sibírska 39, 83102 Bratislava
vedenie@zscadrova.sk;31785212;Základná škola s materskou školou;Prezentácia školy, žiakov a vyučujúcich.;220 275 595;Cádrova 23, 83101 Bratislava
info@mskola.sk;31786995;Materská škola;Materská škola. Vzdelávacie a výchovné zariadenie.;253 412 435;Miletičova 37, 82109 Bratislava
astrova@zoznam.sk;30848822;Materská škola;Materská škola. Informácie, fotogaléria.;243 293 643;Astrova 760, 82101 Bratislava
infocentrum@uniba.sk;397865;Univerzita Komenského v Bratislave;Hlavná stránka Univerzity Komenského v Bratislave.;290 109 986;Šafárikovo námestie 6, 81806 Bratislava
public@stuba.sk;397687;Slovenská technická univerzita v Bratislave;Poslanie univerzity, história, vývoj, organizačná štruktúra, informácie o štúdiu, vedecko-výskumná činnosť a iné.;917 669 586;Vazovova 5, 81243 Bratislava
komunikacia@euba.sk;399957;Ekonomická univerzita v Bratislave;Komplexné a ucelené vzdelávanie v ekonomických a manažérskych študijných programoch.;267 295 356;Dolnozemská cesta 1, 85235 Bratislava
rektorat@vsmu.sk;397431;Vysoká škola múzických umení v Bratislave;Informácie o možnostiach štúdia, fakulty, aktuality.;259 301 411;Ventúrska 3, 81301 Bratislava
gurova@vsvu.sk;157805;Vysoká škola výtvarných umení v Bratislave;Aktuálne informácie o škole, štúdiu, katedrách a ich programoch.;259 428 500;Hviezdoslavovo námestie 18, 81437 Bratislava
info@selyeuni.sk;37961632;Univerzita J. Selyeho;Informácie o univerzite, jednotlivých fakultách a živote na univerzite.;353 260 848;Bratislavská cesta 3322, 94501 Komárno
ddraca@ddraca.sk;30804191;Domov sociálnych služieb a zariadenie pre seniorov Rača;Domov sociálnych služieb a zariadenie pre seniorov. Celoročné komplexné služby pre dôchodcov.;244 887 122;Pri vinohradoch 267, 83106 Bratislava
info@seniorville.sk;37924168;Harmónia života, n.o.;Seniorville - domov dôchodcov a domov sociálnej starostlivosti, ktorý ponúka vyšší štandard sociálnych služieb.;259 305 000;Palisády 33, 81106 Bratislava
referent@ddpazitkova.sk;226840;Domov dôchodcov;Starostlivosť o seniorov, domov dôchodcov. Opatrovateľská služba v domácnosti.;243 339 045;Pažitková 2, 82101 Bratislava
dsarcha@dsarcha.sk;30779278;Domov seniorov ARCHA;Starostlivosť o seniorov na dennej báze.;254 773 642;Rozvodná 25, 83101 Bratislava
info@rdssklenarova.sk;510173;Ružinovský domov seniorov;Poskytovanie služieb seniorom v domove dôchodcov.;253 480 211;Sklenárova 14, 82109 Bratislava
administrativa@senior-centrum.sk;42133661;Seniorcentrum Staré Mesto;Poskytovanie sociálnych služieb pre seniorov.;914 355 640;Podjavorinskej 6, 81103 Bratislava
domseniorovrudi@gmail.com;45740682;Dom Seniorov Rudi n.o.;Poskytovanie sociálnych služieb starým ľuďom. Zariadenie je špecializované pre pacientov s Parkinsonovou chorobou.;911 668 852;Odbojárov 3, 83104 Bratislava
seniorcity@seniorcity.sk;45629943;1. Senior city, a. s.;Domov pre seniorov v obci Blatná na Ostrove. Ponuka dlhodobého aj krátkodobého ubytovania.;904 636 363;Pribinova 4, 82109 Bratislava
evito.riaditel@gmail.com;42253560;EVITO;Zariadenie pre seniorov Penzión Steffi. Komplexná zdravotná starostlivosť pre seniorov.;918 957 019;Prúdová 14, 82105 Bratislava
primula@primulano.sk;45732582;PRIMULA - Stredisko sociálnych služieb, n.o.;Poskytovanie ústavnej starostlivosti pre ľudí v zrelom a dôchodkovom veku.;240 202 617;Nákovná 44, 82106 Bratislava
dtv@dtv.sk;30842344;Dom tretieho veku;Zariadenie pre seniorov. Celoročná pobytová sociálna služba.;232 333 600;Poloreckého 2, 85104 Bratislava
hestia@hestia.sk;36077313;HESTIA n.o.;Poskytovateľ sociálnych služieb. Špecializované zariadenie pre seniorov s ľahším i ťažším zdravotným postihnutím.;264 463 485;Bošániho č. 1805/2, 84102 Bratislava
dslamac@gmail.com;896276;Domov seniorov Lamač;Zariadenie pre seniorov a domov sociálnych služieb.;264 781 054;Na barine 5, 84103 Bratislava
gerionsk@gmail.com;31864180;Lendel Juraj, MUDr.;Zariadenie pre seniorov a zariadenie opatrovateľskej služby Gerion. Starostlivosť aj o imobilných dôchodcov.;245 529 811;Námestie rodiny 1, 84106 Bratislava
domov@domovprikrizi.sk;641405;Domov pri kríži;Sociálne služby pre seniorov s celoročným pobytom.;264 283 259;Pri kríži 26, 84102 Bratislava
tajomnik@bilgym.sk;30848008;Bilingválne gymnázium C.S. Lewisa;Gymnázium;907 115 967;Haanova 28, 85104 Bratislava
info@ssg.sk;30805473;Súkromné gymnázium;Gymnázium;245 640 011;Vážska 32, 82107 Bratislava
gymhron@gymhron.sk;17337097;Gymnázium Federica Garcíu Lorcu;Gymnázium;245 242 585;Hronská 3, 82107 Bratislava
vedenie@vazka.sk;17337046;Gymnázium Jána Papánka;Gymnázium;257 789 825;Vazovova 6, 81107 Bratislava
riaditel@ursula.sk;30807930;Gymnázium sv. Uršule;Gymnázium;948 544 327;Nedbalova 6, 81101 Bratislava
sgm@sgm.sk;30843201;Súkromné gymnázium Mercury;Gymnázium;0903 89 28 77;Zadunajská 27, 85000 Bratislava
skolasvr@gmail.com;42178941;Spojená škola Svätej Rodiny;Gymnázium;263 451 622;Gercenova 10, 85101 Bratislava
info@sgesprit.sk;30797969;Súkromné gymnázium Esprit;Gymnázium;262 250 903;Majerníkova 62, 84105 Bratislava
info@1sg.sk;17326192;Výchovno-vzdelávacie združenie;Gymnázium;250 204 611;Bajkalská 20, 82108 Bratislava
gymnazium.alexia@gmail.com;17318840;Gymnázium Matky Alexie;Gymnázium;254 433 694;Jesenského 4/A, 81102 Bratislava
ucitel@gymmo.edu.sk;17050197;Gymnázium Karola Štúra;Gymnázium;336 472 576;Námestie slobody 5, 90001 Modra
evlyceum@evlyceum.sk;17327164;Evanjelické lýceum;Gymnázium;263 838 488;Vranovská 2, 85102 Bratislava
gabsenec@svsba.sk;160326;Gymnázium Antona Bernoláka;Gymnázium;245 923 261;Lichnerova 69, 90301 Senec
riaditel@gymsenpk.edu.sk;17050201;Gymnázium;Gymnázium;336 412 252;Senecká 2, 90201 Pezinok
gym.malacky@region-bsk.sk;160229;Gymnázium;Gymnázium;347 722 469;1. mája 8, 90101 Malacky
tajomnicka@svfrantisek.sk;42176182;Spojená škola sv. Františka z Assisi;Gymnázium;265 424 043;Karloveská 32, 84104 Bratislava
info@galileoschool.sk;35893991;GALILEO SCHOOL, s.r.o.;Gymnázium;905 351 775;Dudvážska 6, 82107 Bratislava
office@gmet.sk;42262488;Gymnázium, Metodova 2;Gymnázium;250 102 412;Metodova 2, 82108 Bratislava
riaditel@gyzastupca@gymls.edu.sk\ntajomnik@gymls.edu.skmls.edu.sk;17337054;Gymnázium;Gymnázium;269 307 703;Ladislava Sáru 1, 84104 Bratislava
gaudeamus@dudva.sk;31377491;Gaudeamus, s.r.o.;Gymnázium;245 520 983;Dudvážska 6, 82107 Bratislava
skola@horvatha.sk;17337062;Gymnázium Ivana Horvátha;Gymnázium;243 413 069;I. Horvátha 14, 82103 Bratislava
skola@gympaba.sk;30778956;Gymnázium;Gymnázium;262 312 706;Pankúchova 6, 85104 Bratislava
